"zipcode","year","housing_price","crime","grocery","bus_stop","age","income","bachelor_rate","white_rate","black_rate","asian_rate"
60601,2000,289917.916666667,0,3,35,NA,NA,NA,NA,NA,NA
60601,2001,329389.75,1,3,35,NA,NA,NA,NA,NA,NA
60601,2002,361936.25,1,3,35,NA,NA,NA,NA,NA,NA
60601,2003,374467.833333333,0,3,35,NA,NA,NA,NA,NA,NA
60601,2004,384097.083333333,0,3,35,NA,NA,NA,NA,NA,NA
60601,2005,414549.416666667,0,3,35,NA,NA,NA,NA,NA,NA
60601,2006,446903.083333333,0,3,35,NA,NA,NA,NA,NA,NA
60601,2007,456944,0,3,35,NA,NA,NA,NA,NA,NA
60601,2008,445831.5,0,3,35,NA,NA,NA,NA,NA,NA
60601,2009,428413.083333333,0,3,35,NA,NA,NA,NA,NA,NA
60601,2010,399746.5,0,3,35,NA,NA,NA,NA,NA,NA
60601,2011,371453.583333333,0,3,35,35.3,63344,56.73,70.62,7.29,17.35
60601,2012,358551.25,0,3,35,34.5,58718,56.47,67.98,6.95,19.35
60601,2013,392439.5,0,3,35,36.6,60318,58.7,66.7,10.99,18.27
60601,2014,424540.083333333,0,4,35,37.7,57877,57.88,69.68,10.23,16.14
60601,2015,432324.25,0,4,35,36.2,62143,57.6,70.51,8.1,18.65
60601,2016,447035.666666667,1,4,35,38.3,61474,55.74,73.11,7.8,16.28
60601,2017,462125.333333333,3,4,35,37.6,71305,57.32,74.77,8.27,15.41
60601,2018,459800.833333333,3,4,35,34.9,69769,60.34,74.17,5.57,18
60601,2019,446932.833333333,2,4,35,33.6,71902,59.6,72.96,4.59,18.96
60601,2020,444492.166666667,8,4,35,NA,NA,NA,NA,NA,NA
60601,2021,459027.666666667,4,4,35,NA,NA,NA,NA,NA,NA
60602,2000,374113.583333333,0,0,20,NA,NA,NA,NA,NA,NA
60602,2001,440867.416666667,0,0,20,NA,NA,NA,NA,NA,NA
60602,2002,471559.666666667,0,0,20,NA,NA,NA,NA,NA,NA
60602,2003,475604,0,0,20,NA,NA,NA,NA,NA,NA
60602,2004,468842.583333333,0,0,20,NA,NA,NA,NA,NA,NA
60602,2005,513714.583333333,0,0,20,NA,NA,NA,NA,NA,NA
60602,2006,564353.833333333,1,0,20,NA,NA,NA,NA,NA,NA
60602,2007,582925.166666667,0,0,20,NA,NA,NA,NA,NA,NA
60602,2008,572810.666666667,0,0,20,NA,NA,NA,NA,NA,NA
60602,2009,531828.583333333,0,0,20,NA,NA,NA,NA,NA,NA
60602,2010,496304.666666667,2,0,20,NA,NA,NA,NA,NA,NA
60602,2011,482344.833333333,0,0,20,33.2,56458,56.3,73.85,1.48,19.55
60602,2012,489165.333333333,0,0,20,32.1,52807,54.61,72.16,2.72,20.12
60602,2013,512267.083333333,0,0,20,32.4,55030,46.55,72.18,2.39,21.74
60602,2014,554558.75,0,0,20,25.9,41250,54.3,78.52,1.68,15.54
60602,2015,576979.416666667,0,0,20,25.9,51806,55.1,84.7,2.32,11.13
60602,2016,592160.333333333,0,0,20,26.3,51806,57.27,73.24,2.4,23.48
60602,2017,603040.666666667,0,0,20,31.1,64773,61.47,76.43,0.86,18.17
60602,2018,600504.5,2,0,20,30.6,65167,75.24,68.17,3.78,19.45
60602,2019,568354,0,0,20,34.1,101190,75.2,64.1,4.28,21.4
60602,2020,547914.583333333,0,0,20,NA,NA,NA,NA,NA,NA
60602,2021,559412.5,3,0,20,NA,NA,NA,NA,NA,NA
60603,2000,NA,0,0,12,NA,NA,NA,NA,NA,NA
60603,2001,NA,0,0,12,NA,NA,NA,NA,NA,NA
60603,2002,NA,0,0,12,NA,NA,NA,NA,NA,NA
60603,2003,NA,0,0,12,NA,NA,NA,NA,NA,NA
60603,2004,NA,0,0,12,NA,NA,NA,NA,NA,NA
60603,2005,NA,0,0,12,NA,NA,NA,NA,NA,NA
60603,2006,NA,0,0,12,NA,NA,NA,NA,NA,NA
60603,2007,NA,0,0,12,NA,NA,NA,NA,NA,NA
60603,2008,NA,0,0,12,NA,NA,NA,NA,NA,NA
60603,2009,NA,0,0,12,NA,NA,NA,NA,NA,NA
60603,2010,NA,0,0,12,NA,NA,NA,NA,NA,NA
60603,2011,NA,1,0,12,27.2,37313,47.29,66.88,4.38,28.75
60603,2012,NA,0,0,12,27.1,39091,45.43,67.9,4.65,27.45
60603,2013,NA,2,0,12,26.1,44028,42.06,65.31,4.31,30.39
60603,2014,707833,0,1,12,26.5,53929,47.31,61.18,1,33.33
60603,2015,714629.666666667,0,1,12,27.1,57132,49.72,64.13,1.67,29.83
60603,2016,732982.833333333,1,1,12,26.3,59808,46.26,59.96,3.21,32.17
60603,2017,735533,1,1,12,26.7,65583,45.36,58.98,2.26,34.5
60603,2018,721624,1,1,12,28.9,60833,53.41,63.46,3.24,27.6
60603,2019,688114.666666667,0,1,12,31.2,65125,52.57,62.83,3.9,32.03
60603,2020,678868.916666667,2,1,12,NA,NA,NA,NA,NA,NA
60603,2021,668110.166666667,1,1,12,NA,NA,NA,NA,NA,NA
60604,2000,NA,0,0,15,NA,NA,NA,NA,NA,NA
60604,2001,NA,0,0,15,NA,NA,NA,NA,NA,NA
60604,2002,NA,0,0,15,NA,NA,NA,NA,NA,NA
60604,2003,NA,0,0,15,NA,NA,NA,NA,NA,NA
60604,2004,NA,0,0,15,NA,NA,NA,NA,NA,NA
60604,2005,NA,1,0,15,NA,NA,NA,NA,NA,NA
60604,2006,NA,0,0,15,NA,NA,NA,NA,NA,NA
60604,2007,NA,0,0,15,NA,NA,NA,NA,NA,NA
60604,2008,NA,0,0,15,NA,NA,NA,NA,NA,NA
60604,2009,NA,0,0,15,NA,NA,NA,NA,NA,NA
60604,2010,NA,0,0,15,NA,NA,NA,NA,NA,NA
60604,2011,NA,1,0,15,51.9,76250,65.39,82.95,0,10.43
60604,2012,NA,0,0,15,52.6,89375,70.79,82.01,0,12.85
60604,2013,NA,0,0,15,54,88542,71.33,81.69,0,16.39
60604,2014,465780.666666667,1,0,15,52.4,92188,59.19,77.8,3.1,16.23
60604,2015,470655.75,0,0,15,46.4,101597,66.06,69.72,2.2,26.97
60604,2016,482294.916666667,3,0,15,44.6,101597,60.1,61.55,4.52,33.93
60604,2017,505848.583333333,1,0,15,40.6,91250,52.99,62.57,6.29,31.14
60604,2018,511840.5,1,0,15,32.4,86250,49.74,63.43,5.63,29.67
60604,2019,484349.833333333,0,0,15,32.2,72333,57.35,64.64,4.98,29.16
60604,2020,490870.333333333,6,0,15,NA,NA,NA,NA,NA,NA
60604,2021,508684,3,0,15,NA,NA,NA,NA,NA,NA
60605,2000,255821,2,2,88,NA,NA,NA,NA,NA,NA
