"zip_code","year","tot_crime"
60601,"1991",2
60601,"1992",1
60601,"1993",1
60601,"1997",1
60601,"2001",1
60601,"2002",1
60601,"2016",1
60601,"2017",3
60601,"2018",3
60601,"2019",2
60601,"2020",8
60601,"2021",4
60601,"2022",2
60602,"1996",1
60602,"1998",1
60602,"2006",1
60602,"2010",2
60602,"2018",2
60602,"2021",3
60602,"2022",1
60603,"1992",1
60603,"1994",2
60603,"1996",1
60603,"1997",1
60603,"2011",1
60603,"2013",2
60603,"2016",1
60603,"2017",1
60603,"2018",1
60603,"2020",2
60603,"2021",1
60604,"1992",2
60604,"1995",1
60604,"2005",1
60604,"2011",1
60604,"2014",1
60604,"2016",3
60604,"2017",1
60604,"2018",1
60604,"2020",6
60604,"2021",3
60605,"1991",1
60605,"1994",1
60605,"1995",2
60605,"1996",3
60605,"1997",2
60605,"1998",4
60605,"1999",2
60605,"2000",2
60605,"2001",1
60605,"2004",1
60605,"2008",2
60605,"2009",2
60605,"2011",1
60605,"2013",3
60605,"2014",1
60605,"2015",3
60605,"2016",3
60605,"2017",1
60605,"2018",8
60605,"2019",2
60605,"2020",8
60605,"2021",20
60605,"2022",2
60606,"1993",1
60606,"1999",2
60606,"2002",1
60606,"2013",1
60606,"2017",1
60606,"2018",1
60606,"2021",2
60606,"2022",1
60607,"1991",5
60607,"1992",5
60607,"1993",3
60607,"1994",4
60607,"1995",4
60607,"1996",2
60607,"1997",1
60607,"1998",1
60607,"1999",2
60607,"2000",3
60607,"2001",4
60607,"2004",2
60607,"2005",1
60607,"2006",3
60607,"2008",1
60607,"2009",3
60607,"2010",5
60607,"2011",8
60607,"2012",5
60607,"2013",9
60607,"2014",8
60607,"2015",8
60607,"2016",13
60607,"2017",7
60607,"2018",5
60607,"2019",5
60607,"2020",10
60607,"2021",20
60608,"1991",42
60608,"1992",31
60608,"1993",37
60608,"1994",34
60608,"1995",30
60608,"1996",31
60608,"1997",31
60608,"1998",34
60608,"1999",29
60608,"2000",32
60608,"2001",27
60608,"2002",29
60608,"2003",21
60608,"2004",18
60608,"2005",7
60608,"2006",14
60608,"2007",11
60608,"2008",14
60608,"2009",17
60608,"2010",74
60608,"2011",85
60608,"2012",76
60608,"2013",70
60608,"2014",65
60608,"2015",68
60608,"2016",101
60608,"2017",101
60608,"2018",64
60608,"2019",66
60608,"2020",127
60608,"2021",118
60608,"2022",15
60609,"1991",80
60609,"1992",63
60609,"1993",41
60609,"1994",64
60609,"1995",38
60609,"1996",42
60609,"1997",38
60609,"1998",57
60609,"1999",33
60609,"2000",47
60609,"2001",38
60609,"2002",28
60609,"2003",39
60609,"2004",20
60609,"2005",17
60609,"2006",21
60609,"2007",21
60609,"2008",17
60609,"2009",13
60609,"2010",123
60609,"2011",108
60609,"2012",170
60609,"2013",102
60609,"2014",107
60609,"2015",156
60609,"2016",210
60609,"2017",129
60609,"2018",114
60609,"2019",88
60609,"2020",142
60609,"2021",190
60609,"2022",29
60610,"1991",16
60610,"1992",15
60610,"1993",3
60610,"1994",7
60610,"1995",6
60610,"1996",7
60610,"1997",6
60610,"1998",8
60610,"1999",3
60610,"2000",9
60610,"2001",8
60610,"2002",11
60610,"2003",7
60610,"2004",8
60610,"2005",8
60610,"2006",4
60610,"2007",2
60610,"2008",4
60610,"2009",1
60610,"2010",15
60610,"2011",3
60610,"2012",14
60610,"2013",14
60610,"2014",10
60610,"2015",10
60610,"2016",15
60610,"2017",17
60610,"2018",15
60610,"2019",20
60610,"2020",15
60610,"2021",34
60610,"2022",1
60611,"1991",1
60611,"1992",1
60611,"1994",2
60611,"2010",1
60611,"2012",3
60611,"2013",6
60611,"2014",1
60611,"2015",3
60611,"2016",8
60611,"2017",4
60611,"2018",4
60611,"2019",7
60611,"2020",17
60611,"2021",14
60611,"2022",2
60612,"1991",39
60612,"1992",56
60612,"1993",35
60612,"1994",41
60612,"1995",29
60612,"1996",22
60612,"1997",31
60612,"1998",30
60612,"1999",24
60612,"2000",15
60612,"2001",20
60612,"2002",20
60612,"2003",19
60612,"2004",9
60612,"2005",9
60612,"2006",12
60612,"2007",11
60612,"2008",12
60612,"2009",7
60612,"2010",45
60612,"2011",38
60612,"2012",86
60612,"2013",67
60612,"2014",67
60612,"2015",90
60612,"2016",157
60612,"2017",138
60612,"2018",107
60612,"2019",98
60612,"2020",155
60612,"2021",172
60612,"2022",11
60613,"1991",10
60613,"1992",10
60613,"1993",4
60613,"1994",16
60613,"1995",7
60613,"1996",2
60613,"1997",8
60613,"1998",1
60613,"2000",2
60613,"2001",1
60613,"2002",5
60613,"2003",1
60613,"2004",1
60613,"2005",1
60613,"2007",2
60613,"2008",1
60613,"2010",2
60613,"2011",3
60613,"2012",5
60613,"2013",2
60613,"2014",6
60613,"2015",3
60613,"2016",8
60613,"2017",1
60613,"2018",1
60613,"2019",2
60613,"2020",5
60613,"2021",4
60614,"1991",4
60614,"1992",4
60614,"1993",4
60614,"1994",3
60614,"1995",2
60614,"1996",1
60614,"2000",1
60614,"2001",1
60614,"2002",1
60614,"2003",3
60614,"2004",1
60614,"2005",1
60614,"2007",1
60614,"2009",2
60614,"2010",3
60614,"2011",3
60614,"2012",4
60614,"2013",2
60614,"2014",3
60614,"2015",4
60614,"2016",1
60614,"2017",7
60614,"2018",4
60614,"2019",15
60614,"2020",8
60614,"2021",20
60615,"1991",20
60615,"1992",21
60615,"1993",17
60615,"1994",15
60615,"1995",8
60615,"1996",12
60615,"1997",9
60615,"1998",11
60615,"1999",16
60615,"2000",6
60615,"2001",10
60615,"2002",5
60615,"2003",6
60615,"2004",6
60615,"2005",10
60615,"2006",5
60615,"2007",7
60615,"2008",12
60615,"2009",8
60615,"2010",45
60615,"2011",49
60615,"2012",47
60615,"2013",43
60615,"2014",28
60615,"2015",55
60615,"2016",54
60615,"2017",42
60615,"2018",40
60615,"2019",28
60615,"2020",32
60615,"2021",57
60615,"2022",9
60616,"1991",21
60616,"1992",15
60616,"1993",17
60616,"1994",7
60616,"1995",13
60616,"1996",11
60616,"1997",17
60616,"1998",7
60616,"1999",14
60616,"2000",5
60616,"2001",9
60616,"2002",11
60616,"2003",10
60616,"2004",6
60616,"2005",5
60616,"2006",6
60616,"2007",5
60616,"2008",2
60616,"2009",3
60616,"2010",7
60616,"2011",10
60616,"2012",12
60616,"2013",2
60616,"2014",8
60616,"2015",18
60616,"2016",26
60616,"2017",18
60616,"2018",21
60616,"2019",24
60616,"2020",44
60616,"2021",43
60616,"2022",8
60617,"1991",32
60617,"1992",35
60617,"1993",41
60617,"1994",42
60617,"1995",32
60617,"1996",32
60617,"1997",30
60617,"1998",26
60617,"1999",19
60617,"2000",24
60617,"2001",32
60617,"2002",25
60617,"2003",25
60617,"2004",19
60617,"2005",12
60617,"2006",25
60617,"2007",18
60617,"2008",29
60617,"2009",30
60617,"2010",136
60617,"2011",134
60617,"2012",137
60617,"2013",116
60617,"2014",165
60617,"2015",96
60617,"2016",130
60617,"2017",128
60617,"2018",85
60617,"2019",107
60617,"2020",180
60617,"2021",177
60617,"2022",7
60618,"1991",9
60618,"1992",11
60618,"1993",9
60618,"1994",11
60618,"1995",15
60618,"1996",14
60618,"1997",16
60618,"1998",13
60618,"1999",11
60618,"2000",12
60618,"2001",12
60618,"2002",17
60618,"2003",12
60618,"2004",10
60618,"2005",4
60618,"2006",11
60618,"2007",3
60618,"2008",8
60618,"2009",3
60618,"2010",33
60618,"2011",36
60618,"2012",28
60618,"2013",22
60618,"2014",16
60618,"2015",22
60618,"2016",30
60618,"2017",14
60618,"2018",39
60618,"2019",26
60618,"2020",40
60618,"2021",34
60618,"2022",3
60619,"1991",20
60619,"1992",43
60619,"1993",39
60619,"1994",33
60619,"1995",29
60619,"1996",32
60619,"1997",37
60619,"1998",23
60619,"1999",21
60619,"2000",20
60619,"2001",33
60619,"2002",40
60619,"2003",27
60619,"2004",14
60619,"2005",29
60619,"2006",32
60619,"2007",34
60619,"2008",30
60619,"2009",28
60619,"2010",152
60619,"2011",130
60619,"2012",168
60619,"2013",144
60619,"2014",130
60619,"2015",148
60619,"2016",202
60619,"2017",170
60619,"2018",154
60619,"2019",134
60619,"2020",238
60619,"2021",273
60619,"2022",15
60620,"1991",43
60620,"1992",35
60620,"1993",39
60620,"1994",41
60620,"1995",30
60620,"1996",39
60620,"1997",44
60620,"1998",31
60620,"1999",32
60620,"2000",23
60620,"2001",33
60620,"2002",26
60620,"2003",28
60620,"2004",29
60620,"2005",18
60620,"2006",26
60620,"2007",23
60620,"2008",24
60620,"2009",26
60620,"2010",167
60620,"2011",157
60620,"2012",155
60620,"2013",138
60620,"2014",145
60620,"2015",176
60620,"2016",241
60620,"2017",179
60620,"2018",168
60620,"2019",180
60620,"2020",259
60620,"2021",281
60620,"2022",30
60621,"1991",56
60621,"1992",48
60621,"1993",37
60621,"1994",44
60621,"1995",37
60621,"1996",32
60621,"1997",35
60621,"1998",27
60621,"1999",36
60621,"2000",22
60621,"2001",30
60621,"2002",36
60621,"2003",24
60621,"2004",28
60621,"2005",20
60621,"2006",15
60621,"2007",25
60621,"2008",25
60621,"2009",22
60621,"2010",137
60621,"2011",154
60621,"2012",143
60621,"2013",140
60621,"2014",153
60621,"2015",185
60621,"2016",236
60621,"2017",155
60621,"2018",148
60621,"2019",141
60621,"2020",221
60621,"2021",242
60621,"2022",20
60622,"1991",14
60622,"1992",13
60622,"1993",18
60622,"1994",12
60622,"1995",16
60622,"1996",4
60622,"1997",15
60622,"1998",15
60622,"1999",9
60622,"2000",11
60622,"2001",13
60622,"2002",7
60622,"2003",8
60622,"2004",7
60622,"2005",2
60622,"2006",5
60622,"2007",6
60622,"2008",6
60622,"2009",10
60622,"2010",29
60622,"2011",33
60622,"2012",24
60622,"2013",21
60622,"2014",16
60622,"2015",33
60622,"2016",53
60622,"2017",42
60622,"2018",34
60622,"2019",25
60622,"2020",47
60622,"2021",38
60622,"2022",8
60623,"1991",46
60623,"1992",41
60623,"1993",48
60623,"1994",49
60623,"1995",51
60623,"1996",49
60623,"1997",35
60623,"1998",29
60623,"1999",41
60623,"2000",37
60623,"2001",41
60623,"2002",37
60623,"2003",46
60623,"2004",31
60623,"2005",33
60623,"2006",36
60623,"2007",24
60623,"2008",33
60623,"2009",24
60623,"2010",180
60623,"2011",135
60623,"2012",173
60623,"2013",115
60623,"2014",122
60623,"2015",131
60623,"2016",327
60623,"2017",279
60623,"2018",193
60623,"2019",188
60623,"2020",294
60623,"2021",292
60623,"2022",20
60624,"1991",40
60624,"1992",53
60624,"1993",58
60624,"1994",50
60624,"1995",54
60624,"1996",75
60624,"1997",36
60624,"1998",43
60624,"1999",56
60624,"2000",38
60624,"2001",43
60624,"2002",33
60624,"2003",33
60624,"2004",16
60624,"2005",22
60624,"2006",21
60624,"2007",23
60624,"2008",28
60624,"2009",33
60624,"2010",139
60624,"2011",178
60624,"2012",135
60624,"2013",111
60624,"2014",175
60624,"2015",228
60624,"2016",368
60624,"2017",255
60624,"2018",316
60624,"2019",253
60624,"2020",384
60624,"2021",405
60624,"2022",15
60625,"1991",8
60625,"1992",13
60625,"1993",12
60625,"1994",15
60625,"1995",10
60625,"1996",13
60625,"1997",5
60625,"1998",6
60625,"1999",5
60625,"2000",3
60625,"2001",8
60625,"2002",6
60625,"2003",4
60625,"2004",4
60625,"2005",7
60625,"2007",4
60625,"2008",4
