"zipcode","year","med_age","med_income","bachelor_hrate","white_rate","black_rate","asian_rate"
60601,2011,35.3,63344,56.73,70.62,7.29,17.35
60602,2011,33.2,56458,56.3,73.85,1.48,19.55
60603,2011,27.2,37313,47.29,66.88,4.38,28.75
60604,2011,51.9,76250,65.39,82.95,0,10.43
60605,2011,34.7,51532,51.83,58.27,22.02,14.52
60606,2011,33,63381,65.99,88.27,2.07,6.74
60607,2011,30.8,46992,47.31,59.12,18.89,16.7
60608,2011,31,18051,10.5,40.38,16.48,8.52
60609,2011,29.4,18855,5.52,42.88,29.06,3.57
60610,2011,34.5,49293,46.78,71.03,19.37,6.81
60611,2011,45.1,62356,55.01,80.13,3.63,12.82
60612,2011,30.6,23381,18.26,27.08,60.39,5.19
60613,2011,31.8,44685,49.41,81.71,6.4,6.53
60614,2011,30.4,52090,53.33,87.3,4.03,5.67
60615,2011,33.6,25971,30.91,26.87,61.5,6.73
60616,2011,36.1,22031,23.85,28.44,26.39,37.51
60617,2011,34.9,21161,8.37,29.89,54.34,0.29
60618,2011,32.7,29041,25.3,67.23,2.8,5.23
60619,2011,39.9,22787,12.63,0.68,97.72,0.15
60620,2011,36.6,18961,6.7,0.97,97.96,0.14
60621,2011,32.7,13570,3.44,1.23,97.87,0.04
60622,2011,30.7,37395,41.44,72.78,8.66,3.03
60623,2011,26.9,17163,3.78,41.31,33.28,0.14
60624,2011,27.4,14225,4.6,2.31,95.75,0.13
60625,2011,32.7,24837,24.42,49.02,4.45,14.05
60626,2011,32.9,23902,25.64,53.13,25.16,6.96
60628,2011,36,20256,7.93,3.29,94.76,0.14
60629,2011,28.9,21764,4.45,31.16,25.18,0.66
60630,2011,37.8,27974,18.19,73.87,0.97,9.35
60631,2011,42.5,38894,22.88,90.54,0.82,2.4
60632,2011,28.3,20669,4.76,58.46,1.87,3.89
60633,2011,36,25970,7.96,59.13,27.15,0.7
60634,2011,38.9,26871,13,74.38,1.58,4.6
60636,2011,31.1,14336,3.6,2.64,95.3,0.1
60637,2011,31.2,18323,15.13,16.24,78.3,3.65
60638,2011,36.4,30286,10.92,72.33,4.25,1.27
60639,2011,30.4,18959,4.39,27.58,17.92,0.86
60640,2011,36.2,30078,38.2,58.45,18.53,12.98
60641,2011,35,24740,12.89,57.85,2.97,4.34
60642,2011,31.3,43039,44.53,66.43,13.85,5.76
60643,2011,41.2,31088,19.85,26.3,71.56,0.43
60644,2011,33.6,16299,5.66,4.3,93.43,0.38
60645,2011,35.2,25871,20.26,53.9,17.61,15.77
60646,2011,42.6,33977,26.36,81.47,1.63,10.66
60647,2011,31.1,27544,25.8,70.59,7.55,2.99
60649,2011,38.1,20458,14.05,1.75,94.61,0.27
60651,2011,30.7,17463,5.22,13.52,65.82,0.3
60652,2011,34,30363,10.83,27.42,50.21,0.36
60653,2011,35.1,18813,15.9,4.7,92.28,1.1
60654,2011,32.9,67124,67.63,76.93,4.11,12.15
60655,2011,36.9,45897,21.84,90.4,6.45,0.36
60656,2011,40.6,31561,19.89,87.13,0.63,7.02
60657,2011,30.6,48212,56.74,86.88,2.73,6.62
60659,2011,34.5,24483,18.62,49.18,8.74,27.27
60660,2011,35.5,26643,32.07,57.94,16.63,14.18
60661,2011,30.6,64293,67.19,68.11,7.91,19.77
60707,2011,37.8,27122,14.9,71.25,6.9,2.89
60827,2011,30.7,21591,6.8,7.5,90.24,0.22
60601,2012,34.5,58718,56.47,67.98,6.95,19.35
60602,2012,32.1,52807,54.61,72.16,2.72,20.12
60603,2012,27.1,39091,45.43,67.9,4.65,27.45
60604,2012,52.6,89375,70.79,82.01,0,12.85
60605,2012,33.9,49287,51.68,57.75,21.49,16.14
60606,2012,30.9,64272,70.36,84.12,2.08,10.96
60607,2012,30.9,48175,47.72,57.05,17.47,19.15
60608,2012,30.9,18211,10.88,44.56,16.02,9.06
60609,2012,29.1,18605,5.77,46.02,28.8,3.79
60610,2012,34.6,52660,47.13,72.61,16.81,7.79
60611,2012,42.9,65089,57.45,78.61,3.18,14.92
60612,2012,30.3,22604,19.22,25.76,62.9,5.13
60613,2012,31.9,45176,51.23,81.89,6.62,6.85
60614,2012,30.1,52129,52.61,86.85,4.03,5.75
60615,2012,33.8,26437,29.99,26.91,61.67,6.22
60616,2012,36,21390,24.16,29.01,25.52,37.32
60617,2012,35.7,21455,8.53,33.41,54.81,0.29
60618,2012,32.5,29176,24.7,72.41,2.71,4.73
60619,2012,39.4,21871,12.02,0.75,97.65,0.15
60620,2012,37.6,18374,6.61,0.87,97.85,0.12
60621,2012,31.6,13137,2.91,1.1,97.31,0.07
60622,2012,31,39125,42.3,74.41,8.68,3.41
60623,2012,27.3,16607,3.72,48.75,34.24,0.17
60624,2012,27.3,14451,4.32,2.19,96.17,0.09
60625,2012,32.8,25818,25.59,52.4,4.33,13.13
60626,2012,32.6,22705,25.49,53.59,26.84,7.66
60628,2012,37.1,20211,8.26,3.55,94.36,0.32
60629,2012,29.1,21429,4.4,33.09,24.7,0.76
60630,2012,38,28069,18.62,73.23,1.15,9.73
60631,2012,43.5,38514,23.15,91.8,0.83,2.22
60632,2012,28.5,20539,4.57,62.7,1.82,4.14
60633,2012,37,25170,8.89,62.29,27.77,0.76
60634,2012,38.9,26728,13.64,76.46,1.48,3.99
60636,2012,32.1,14984,3.73,2.81,94.46,0.11
60637,2012,31.7,17698,15.22,16.15,77.85,3.96
60638,2012,37.2,29919,11.71,75.12,4.05,1.07
60639,2012,30.5,19007,4.37,30.27,17.78,0.67
60640,2012,36.8,30434,38.51,58.74,18.82,13.03
60641,2012,35.3,24965,13.4,59.47,2.65,4.35
60642,2012,31.8,41934,46.2,71.47,13.18,5.61
60643,2012,42.6,30666,19.54,24.81,72.93,0.34
60644,2012,32.5,16082,5.42,3.45,94.7,0.28
60645,2012,35.3,25400,21.01,56.68,16.87,15.69
60646,2012,43.1,32701,27.16,81.04,1.67,10.72
60647,2012,31.4,28016,27.12,76.96,6.96,2.79
60649,2012,38.3,20689,13.61,1.95,94.29,0.33
60651,2012,31.5,17119,5.47,15.12,65.65,0.28
60652,2012,34.7,30564,11.38,29.11,50.23,0.37
60653,2012,34.3,18412,15.96,4.8,92.73,0.58
60654,2012,32.9,68650,68.04,78.3,3.85,10.6
60655,2012,37.9,46976,23.08,90.11,7.03,0.66
60656,2012,40.4,31431,18.66,85.72,0.84,7.39
60657,2012,30.4,49294,57.12,87.12,2.71,6.72
60659,2012,34.6,24706,20.2,52.17,6.3,29.72
60660,2012,35.6,26448,32.33,61.72,17.16,12.55
60661,2012,30.9,69659,69.01,68.76,7.56,20.63
60707,2012,38.2,27284,15.88,72.2,6.6,3.07
60827,2012,31.5,21523,6.65,8.33,90.58,0
60611,2013,39.5,64987,57.72,77.87,3.75,15.22
60616,2013,35.8,22184,24.48,28.58,24.16,39.1
60651,2013,32.7,16894,5.67,13.63,64.18,0.18
60604,2013,54,88542,71.33,81.69,0,16.39
60612,2013,30.6,22462,19.11,27.05,61.51,4.43
60613,2013,31.5,45749,52.88,83.45,6.09,5.85
60617,2013,36.1,20911,8.45,33.62,55.51,0.36
60618,2013,32.9,29899,25.35,77.87,2.44,4.18
60624,2013,27.9,14554,3.97,2.57,95.71,0.11
60626,2013,33,22635,26.48,56.23,26.38,6.86
60630,2013,38.1,28122,19.23,73.03,1.32,11.19
